Tmean(N)			
N	=	7000	55992
N	=	7100	56792
N	=	7200	57592
N	=	7300	58392
N	=	7400	59192
N	=	7500	59992
N	=	7600	60792
N	=	7700	61592
N	=	7800	62392
N	=	7900	63192
N	=	8000	63992
N	=	8100	64792
N	=	8200	65592
N	=	8300	66392
N	=	8400	67192
N	=	8500	67992
N	=	8600	68792
N	=	8700	69592
N	=	8800	70392
N	=	8900	71192
N	=	9000	71992
N	=	9100	72792
N	=	9200	73592
N	=	9300	74392
N	=	9400	75192
N	=	9500	75992
N	=	9600	76792
N	=	9700	77592
N	=	9800	78392
N	=	9900	79192
N	=	10000	79992
